age,city,is_paris,months_since_inscription,language,dark_mode,font_accessibility,subscription_type,is_renewed,nb_interventions_total,nb_services_domicile,nb_services_medical,nb_services_online,nb_services_sante,nb_services_loisirs,nb_services_tourisme,nb_services_emploi,nb_services_cours,nb_orders_shop,avg_grade_given,total_spent,nb_quotes_requested,nb_quotes_accepted,next_service_type
75,Paris 13e,1,59,fr,0,1,annual_renewal,1,30,15,8,2,2,2,2,2,2,5,3.1,1728.43,10,1,Services à domicile
79,Rouen,0,47,fr,1,0,annual_renewal,1,7,3,2,0,0,0,0,0,7,2,3.3,971.01,1,0,Cours & Formation
86,Paris 11e,1,20,en,0,2,annual_standard,0,7,2,2,0,1,0,0,0,2,0,4.2,785.97,1,1,Services à domicile
71,Bordeaux,0,55,fr,0,0,annual_renewal,1,17,4,4,3,11,1,1,1,1,9,3.4,2663.6,3,1,Santé & Bien-être
82,Paris 18e,1,59,fr,1,1,annual_renewal,1,13,5,4,1,2,0,1,7,1,1,3.1,1676.87,3,2,Emploi Seniors
69,Créteil,1,30,fr,0,2,annual_renewal,1,7,1,1,1,5,0,0,0,0,4,4.5,1091.62,2,2,Santé & Bien-être
79,Paris 11e,1,48,en,1,0,annual_renewal,1,23,8,8,2,1,1,1,3,1,0,3.8,2067.1,3,1,Services à domicile
65,Lyon,0,28,en,1,0,annual_renewal,1,7,1,1,1,4,1,1,0,0,5,4.4,1649.68,2,0,Santé & Bien-être
69,Creil,0,25,fr,0,1,annual_standard,0,10,2,2,2,0,6,1,1,1,0,3.0,634.86,3,1,Loisirs & Sorties
63,Paris 13e,1,60,fr,0,0,annual_standard,0,29,4,4,8,1,4,5,1,1,6,4.0,3435.12,4,1,Services à domicile
73,Marseille,0,18,fr,0,2,annual_renewal,1,6,1,1,1,4,0,0,2,0,2,3.2,658.96,2,0,Santé & Bien-être
75,Créteil,1,51,fr,0,0,annual_renewal,1,26,10,9,2,17,2,0,2,2,1,4.0,2254.39,5,5,Santé & Bien-être
67,Paris 18e,1,40,fr,0,0,annual_renewal,1,10,2,2,1,6,0,1,1,1,3,4.3,1312.54,2,0,Santé & Bien-être
63,Paris 17e,1,55,fr,0,0,annual_renewal,1,20,3,2,8,11,3,2,1,1,3,4.1,1676.77,4,1,Santé & Bien-être
78,Nice,0,24,fr,0,0,annual_renewal,1,12,4,3,1,1,1,0,1,0,2,3.5,1525.98,4,2,Services à domicile
64,Paris 11e,1,17,fr,0,1,annual_renewal,1,2,0,0,0,0,1,0,1,0,1,4.7,312.48,0,0,Loisirs & Sorties
61,Paris 18e,1,2,fr,1,0,monthly_standard,0,1,0,0,0,1,0,0,0,0,0,4.3,103.53,0,0,Santé & Bien-être
